able,having power or skill
acid,chemical substance, pH<7, reacts with metals
aged,reached a specific age
away,distant from a place or person
baby,very young child
band,holds things together
back,rear surface of the body
edge,outside limit of an object
bank,institution for money transactions
been,past participle of "be"
ball,spherical or egg-shaped object
base,bottom part of an object
busy,occupied with tasks
bend,shape into a curve or angle
bell,hollow object that makes a ringing sound
body,physical structure of a person
cost,amount of money required
duty,moral or legal obligation
book,written or printed work
door,hinged, sliding, or revolving barrier
club,group dedicated to an interest
bird,warm-blooded vertebrate animal
come,move toward a place or position
call,make a telephone communication
came,past tense of "come"
care,provision for health and welfare
calm,not showing nervousness
card,piece of stiff paper
coat,outer garment with sleeves
case,container for protection
city,large town
chat,talk informally
cash,coins or notes
crow,large perching bird
cook,prepare food
cool,at a low temperature
dark,with little or no light
date,day of the month or year
film,thin flexible strip coated with light-sensitive emulsion
each,every one separately
farm,land for growing crops and rearing animals
evil,profoundly immoral and wicked
east,direction of sunrise
firm,solid or unyielding
even,flat and smooth
ever,at any time
face,front part of the head
fact,a thing that is known or proved to be true
four,one more than three
five,one more than four
fair,equal and without favoritism or discrimination
fear,unpleasant emotion caused by danger
feel,perceive a sensation or emotion
fell,past tense of "fall"
file,folder or box for holding loose papers
fire,state of combustion with flames and heat
fine,of high quality or excellence
fish,aquatic vertebrate animal
game,activity involving skill and competition
gone,no longer present or in existence
gold,precious yellow metal
have,possess, own, or hold
deal,agreement entered into by two or more parties
hair,fine threadlike strands growing from the skin
here,in, at, or to this place or position
hear,perceive sound made by someone or something
into,expressing movement or action to become enclosed or surrounded by something else
iron,strong, hard magnetic silvery-gray metal
jump,push oneself off a surface and into the air
miss,fail to hit, reach, or come into contact with something aimed at
kick,strike or propel forcibly with the foot
past,gone by in time and no longer existing
kill,cause the death of a person, animal, or other living thing
life,the condition that distinguishes animals and plants from inorganic matter
like,having the same characteristics or qualities as; similar to
love,intense feeling of deep affection
main,most important or principal
move,go in a specified direction or manner; change position
meet,come into the presence or company of someone by chance or arrangement
more,a greater or additional amount or degree
nose,the part above the mouth used for breathing and smelling
near,at a short distance away; nearby
open,allowing access, passage, or view through an empty space
only,and no one or nothing more besides; solely or exclusively
push,exert force on someone or something away from oneself or the origin of the force
pull,exert force on someone or something toward oneself or the origin of the force
sell,give or hand over something in exchange for money
sale,the exchange of a commodity for money
area,a particular extent of space or surface
army,organized military force for land warfare
bill,formal or legal document
food,nutritious substance that people or animals eat or drink
fund,sum of money saved or made available for a purpose
game,activity involving skill and competition
girl,female child
goal,object of ambition or effort
hide,put or keep out of sight; conceal from view or notice
give,freely transfer the possession of something to someone
hate,intense or passionate dislike for someone
also,as well; in addition to what has been mentioned before
